Title,averageRating,voteCount
Maleficent: Mistress of Evil,7.3,5223
Infinite Storm,6.1,97
Jeepers Creepers 2,6.1,1300
Scooby-Doo,6,3735
The Amazing Spider-Man,6.7,15368
Pirates of the Caribbean: The Curse of the Black Pearl,7.8,18020
Legend,7,3223
Ron's Gone Wrong,8,1435
The Haunting of Helena,5.5,129
The Purge,6.3,7405
Up,7.9,17698
Abraham Lincoln: Vampire Hunter,5.7,2869
The Karate Kid,6.5,5138
Finding Nemo,7.8,16929
Desperate Riders,6,49
Sonic the Hedgehog,7.4,8340
Superbad,7.2,6015
The Remaining,5.7,287
The Hunting,4.8,29
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",7.1,8881
Gasoline Alley,5.4,80
The Hobbit: An Unexpected Journey,7.3,16407
Fast & Furious Presents: Hobbs & Shaw,6.9,5961
Shrek Forever After,6.3,6174
Tom Clancy's Without Remorse,7.1,2031
Brazen,4.9,294
How to Train Your Dragon 2,7.7,8369
Wrong Turn 2: Dead End,6,1093
The Hobbit: The Desolation of Smaug,7.6,11421
Torn Hearts,6.2,43
Thor: Ragnarok,7.6,18352
Percy Jackson & the Olympians: The Lightning Thief,6.2,6551
American Siege,5.7,106
Army of Thieves,6.9,1491
Teenage Mutant Ninja Turtles,5.9,6033
Bound by Honor,8.1,972
Wrong Turn,6,815
One Shot,6.8,730
Into the Deep,6.8,22
Spider-Man: Homecoming,7.4,19215
Hancock,6.3,8390
Queen of Spades,6.6,66
Hot Seat,6,45
Amina,6.5,119
The Hunger Games: Mockingjay - Part 1,6.8,13877
Iron Man,7.6,23428
Captain America: Civil War,7.4,20379
The Equalizer,7.2,7476
2012,5.8,10732
Toy Story 3,7.8,12897
How to Train Your Dragon: The Hidden World,7.8,5339
San Andreas,6.2,7379
The Shack,7.5,1792
A Haunted House,5.8,1512
Maleficent,7.1,11873
Sinister Stepsister,6.7,20
The 355,6.2,659
Mother/Android,5.8,564
Project X,6.8,5381
Rise of the Teenage Mutant Ninja Turtles: The Movie,7.4,98
Chappie,6.8,7044
Monster Pets: A Hotel Transylvania Short,7.4,321
John Wick: Chapter 2,7.3,10598
The Simpsons Movie,7,6979
Ciao Alberto,7.5,538
Redeeming Love,7.9,157
M3GAN,0,0
Wrong Turn,6.3,2144
Z-O-M-B-I-E-S 3,7.6,268
Obi-Wan Kenobi: A Jedi's Return,7,334
How the Grinch Stole Christmas,6.7,6123
Transformers: Age of Extinction,5.9,6940
The Penitent Thief,5.4,15
"Good Luck to You, Leo Grande",7,144
Journey 2: The Mysterious Island,6.1,3667
Terminator Genisys,5.9,7387
Ready Player One,7.6,13370
The Exorcist,7.7,6579
A Day to Die,6.1,153
Prometheus,6.5,10561
Everything Everywhere All at Once,8.1,2111
The Amazing Spider-Man 2,6.5,11425
The Twilight Saga: New Moon,6,8116
Ninja Assassin,6.5,1227
Wrong Turn 5: Bloodlines,5.4,755
Pirates of the Caribbean: Dead Men Tell No Tales,6.6,10518
X-Men: Apocalypse,6.5,11597
Nightmare Alley,7,2046
Dragon Fury,6,38
Dark Cloud,6.6,62
Thor: The Dark World,6.6,15404
Beauty and the Beast,7.7,8677
Justice League,6.1,11626
Nobody,8.1,5155
The Meg,6.2,6096
Crank: High Voltage,6,2351
John Wick: Chapter 3 - Parabellum,7.4,8287
Pinocchio,7.1,5055
Ant-Man,7.1,17582
The Help,8.2,6746
Halloween 4: The Return of Michael Myers,6.2,1383
Venom,6.8,13802
The Godfather,8.7,16808
The Hangover Part II,6.5,9187
Furious 7,7.2,9355
Guardians of the Galaxy Vol. 2,7.6,18852
The Lion King II: Simba's Pride,7,3886
Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,8,324
The Valet,7.8,375
Dakota,6.2,13
Silverton Siege,6.4,95
Inception,8.4,32490
Constantine,7,5901
Ice Age: Dawn of the Dinosaurs,6.7,7162
Ted,6.4,10900
"The Simpsons: The Good, the Bart, and the Loki",7.4,568
Top Gun,7,6615
Shrek the Third,6.3,7643
A Haunted House 2,6.1,1131
Army of the Dead,6.3,3267
Mortal Kombat Legends: Battle of the Realms,7.8,304
Predators,6.2,3402
Injustice,7.6,630
Goodnight Mommy,6.3,198
From Straight A's to XXX,5.7,95
Once Upon a Snowman,6.9,451
Iron Man 3,6.9,19971
Taken 2,6.3,5848
Spider-Man: Into the Spider-Verse,8.4,11886
Antlers,6.3,798
The Fate of the Furious,6.9,9123
Just Go with It,6.7,4867
Solitary,5.4,85
Scarface,8.2,9701
Doctor Strange,7.4,19752
The Pilgrim's Progress,7.7,71
Chucky's Vacation Slides,6.1,8
After Porn Ends 2,5.4,201
Jennifer's Body,5.9,3123
Carriers,6.1,1181
Spider-Man,7.3,16317
Ant-Man and the Wasp,7,11561
Apex,5.3,486
A Jazzman's Blues,7.5,69
In Time,7,9883
Jurassic World,6.7,18531
Asking For It,5.6,17
Pain & Gain,6.2,3847
Redemption Day,6.2,216
Child's Play 2,6.2,1450
Mad Max: Fury Road,7.6,19901
Alice in Wonderland,6.6,12467
Spirit Untamed,7.4,416
X-Men: Days of Future Past,7.5,13725
The Town,7.2,4220
The In Between,7.4,489
The Last Duel,7.5,2484
The Incredibles,7.7,15634
The Purge: Anarchy,6.7,5716
American Pie Presents: The Book of Love,5.2,1513
John Carter,6.3,4899
Jurassic Hunt,5.1,208
Cars,6.9,12019
The Grinch,6.8,3064
They/Them,5.2,109
The Invitation,6.4,261
Spider-Man: Far from Home,7.5,13236
Annabelle Comes Home,6.4,2889
Maze Runner: The Scorch Trials,6.7,9129
A Bug's Life,7,7942
Rio,6.7,5735
Bad Boys for Life,7.2,7160
American Sniper,7.4,11430
Rampage,6.4,6060
Ford v Ferrari,8,6074
The Addams Family,7,3741
V for Vengeance,6.3,61
Dawn of the Planet of the Apes,7.3,9756
Cult of Chucky,5.8,1022
The SpongeBob SquarePants Movie,7,2386
Green Lantern,5.2,6398
Thirteen Lives,8,750
Blended,6.8,2912
Battle: Los Angeles,5.7,2990
Wish Dragon,8,986
Spirit: Stallion of the Cimarron,7.7,3959
Madagascar,6.9,9419
Brother Bear,7.2,4661
Taken,7.4,9795
Insidious,6.9,5720
Incredibles 2,7.5,11286
Back to the Outback,7.8,585
