Title,averageRating,voteCount
Volcano,5.8,1223
Along Came a Spider,6.3,1517
Zombie Apocalypse,5.4,196
Highlander II: The Quickening,4.7,690
Fun with Dick and Jane,6.2,2031
American Gigolo,6.1,499
The Twin,6.1,83
Escape from Pretoria,7.3,1004
Soylent Green,6.9,991
The Three Musketeers,6.4,783
Ammonite,7.1,404
Prom Night,5.7,319
The Hills Run Red,5.7,229
Cool Runnings,7,1673
Scooby-Doo! & Batman: The Brave and the Bold,7.4,182
Happy Gilmore,6.6,2185
Teeth,5.3,591
Standoff,6.1,270
"Crouching Tiger, Hidden Dragon: Sword of Destiny",6.1,540
The Boy Next Door,4.8,1867
RoboCop 3,4.8,987
The Boy Who Cried Werewolf,6.5,264
Terminal,5.5,659
Meet the Parents,6.7,5148
A Perfect Getaway,6.3,1045
Goal! III : Taking On The World,3.9,152
Ronin,6.9,1924
Zola,6.2,151
Black Knight,5.4,944
The Green Knight,6.6,1323
Windtalkers,6.2,1034
Risky Business,6.6,1036
Eight Legged Freaks,5.7,984
Sleeping with the Enemy,6.5,852
Primer,6.8,1786
The Man Who Invented Christmas,6.8,670
Hairspray,6.7,2235
Monster High: New Ghoul at School,6.6,39
The Substitute,6.8,333
Walking Dead In The West,3.1,10
13 Sins,6.3,920
Cleveland Abduction,7.2,287
The Gift,6.7,2786
Black Water,5.9,263
Big Fat Liar,5.9,700
Daddy Day Care,5.9,1816
Lake Placid 3,5.3,180
Runaway Train,7,431
Chef,7.1,2776
Creating The Queen's Gambit,8,83
The Searchers,7.8,1101
Casino Royale,5.3,580
It Happened One Night,7.9,965
Bonnie and Clyde,7.5,1285
The Mauritanian,7.5,797
Mary Queen of Scots,6.6,1570
Willow,7,1485
Choose or Die,5.3,520
Scooby-Doo! Frankencreepy,7.8,158
Birds of Paradise,6.8,116
Hotel Rwanda,7.7,2385
Body Heat,7.1,439
The Good Doctor,6.2,206
Chitty Chitty Bang Bang,6.8,515
The Wicker Man,7.4,1036
You Got Served,6.4,353
Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,6.6,751
Pig,6.7,870
While You Were Sleeping,6.9,1412
Office Christmas Party,5.6,1792
Adore,6.1,842
Carol,7.5,3205
Trapped,6.2,477
Cool Hand Luke,7.8,1118
Burlesque,7.2,1990
American Psycho II: All American Girl,4.6,313
City Slickers,6.4,618
Hanna,6.6,2926
My Babysitter's a Vampire,6.9,337
Endangered,6.1,12
Gold,6.6,1384
Brazil,7.7,2782
The Midnight Meat Train,6.1,863
Tapped Out,5.8,49
A Streetcar Named Desire,7.7,1110
Kite,4.3,196
Down,5.2,121
Just Mercy,7.9,1799
The Fast and the Furious: Tokyo Drift,6.4,5598
The Gallows,5,842
Identity,7.2,3162
Amulet,5.5,95
Christmas with a View,5.8,269
The Haunted,6.7,66
Up in the Air,6.8,3092
Cellular,6.4,1607
Exists,5.5,258
Dumb and Dumberer: When Harry Met Lloyd,4.1,673
Funny Games,6.6,1717
The Great Dictator,8.4,2730
The Fog,4.5,602
Sometimes They Come Back,5.9,174
Operation Finale,6.7,794
Kung Fu Panda: Secrets of the Masters,6.4,195
Legend of the BoneKnapper Dragon,6.7,184
Take Down,6,156
The Cursed,6.8,128
All the Devil's Men,6,122
Don't Knock Twice,5.5,646
The Spectacular Now,6.6,2560
The Quest,6.1,556
Sub Rosa,6.1,11
The Royal Tenenbaums,7.5,3856
The Specialist,5.8,1061
ブレードランナー ブラックアウト 2022,7.2,303
Diary of a Wimpy Kid: The Long Haul,5.3,380
Firestarter,6.3,547
Something's Gotta Give,6.6,1348
Fast Five,7.3,6954
The Mothman Prophecies,6.2,918
Last Christmas,7.3,1933
Above the Law,6.1,543
Wishmaster 4: The Prophecy Fulfilled,4.6,110
Forgetting Sarah Marshall,6.5,2911
Juice,7.2,322
Secretariat,7.4,485
Hostage,6.3,1380
Lake Placid vs. Anaconda,5.4,157
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",6.2,1175
The Janes,5.4,24
Born a Champion,7.2,81
The Outlaw Josey Wales,7.5,912
Shanghai Knights,6.1,1930
Tom and Jerry: Shiver Me Whiskers,6.8,113
Galaxy Quest,7.1,1822
Geek Charming,6.6,679
Mirrors 2,5.5,345
Sphere,6.1,1328
The Substitute 2: School's Out,5.6,57
Heathers,7.3,1367
Escobar: Paradise Lost,6.3,697
Masterminds,5.7,1529
Open Water 2: Adrift,5.5,588
Kids,6.9,900
Christmas Inheritance,6.3,745
Lady Bloodfight,6.7,124
Race to Witch Mountain,5.8,1470
A Very Harold & Kumar Christmas,6,790
Keep Watching,5.1,240
Stretch,6.2,549
After Yang,6.5,150
Detachment,7.6,1208
Charlie Wilson's War,6.6,1206
Lottery Ticket,5.6,150
We Need a Little Christmas,6,1
Penelope,6.7,1242
Elizabeth: The Golden Age,6.7,1053
The Half of It,7.1,1286
The Post,7,4057
Spring Breakers,5.2,3459
Ginger Snaps 2: Unleashed,6.4,247
Beverly Hills Ninja,5.6,629
I'm a Porn Star: Gay 4 Pay,7.3,18
Dennis the Menace Strikes Again!,5.4,185
Quills,7.2,516
WarGames,7.1,1466
Devil's Due,4.6,450
The Man with the Iron Fists,5.5,964
"Men, Women & Children",6.5,786
Parental Guidance,5.9,414
Pray Away,7.1,63
Zoolander 2,4.8,1919
Collateral Damage,5.7,1164
The Maltese Falcon,7.8,1311
Sweet November,6.9,1098
Dungeons & Dragons,4.3,482
From Here to Eternity,7.3,498
A Little Princess,7.6,828
Mockingbird,4.7,118
Ride Along,6.2,1971
The Great Mouse Detective,7.1,1377
The Adventures of Ichabod and Mr. Toad,6.5,445
The Parent Trap,7.1,295
Hollow Point,6.6,109
Animal Farm,6.9,375
City Hall,6,206
Empire of the Sun,7.5,1571
Minions: Home Makeover,6.8,142
Charming,6.5,218
Iron Man & Captain America: Heroes United,6.3,115
The Skeleton Key,6.6,1743
Till,8,1
Adventures in Babysitting,7.3,332
Days of Thunder,6.3,1181
Camp X-Ray,6.7,891
Oliver & Company,6.7,1337
Unfriend,5.5,1118
The War with Grandpa,6.5,753
The Duel,5.4,290
Bent,5.3,133
The Last Stand,6,2400
Bad Santa 2,5.4,649
Invincible,6.9,766
Boat Trip,5.2,534
Are We Done Yet?,5.7,511
Palm Springs,7.3,2351
Omen IV: The Awakening,5.1,173
Marked for Death,6,410
Apollo 18,5.3,831
Hulk vs. Wolverine,7.1,197
A Naija Christmas,6.8,41
Scooby-Doo and the Ghoul School,7.4,260
Fright Night Part 2,6.4,307
The NeverEnding Story III,4.4,316
Kung Fu Panda Holiday,6.9,266
9to5: Days in Porn,5.8,63
The Fly II,5.5,492
DragonHeart,6.5,1722
Tenacious D in The Pick of Destiny,6.7,1316
Assassination Nation,6.3,699
Anchorman: The Legend of Ron Burgundy,6.7,3554
The Nutty Professor,5.6,2509
Ray Donovan: The Movie,6.8,132
The Color Purple,7.8,1379
Footloose,6.7,1685
Another 48 Hrs.,6,689
This Means War,6.1,2999
Beats,6.8,220
Disclosure,6.2,971
2:22,6,1292
Raven's Hollow,4.9,12
Bingo,5.1,81
The Benchwarmers,5.9,730
Reign Over Me,7.2,886
1BR,6.1,320
El Dorado,7.4,406
The Wrestler,7.5,3050
Killing Me Softly,5.5,240
Dracula,7.2,928
"Honey, I Blew Up the Kid",5.2,968
Archive,6.2,526
Afternoon Delight,5.8,181
Hatchet,5.8,522
The Awakening,6.4,1212
Defiance,6.8,1492
Scooby-Doo! and the Loch Ness Monster,7.4,349
Runner Runner,5.6,1095
"See No Evil, Hear No Evil",6.7,795
Don Juan DeMarco,6.7,635
Goodbye Christopher Robin,7.1,707
The Jackal,6.3,1550
Hero,6.4,374
Children of the Corn: Revelation,4,83
Supernova,6.9,233
"Paw Patrol: Ready, Race, Rescue!",7.1,106
Morning Glory,6.3,1281
Sexy Beast,7,590
Final Fantasy: The Spirits Within,6.2,1239
Needful Things,6.2,419
Gia,7.1,610
A Dennis the Menace Christmas,5.6,75
The Secret Scripture,7.3,238
First Reformed,7,1119
Line of Duty,5.9,239
RocknRolla,7,2478
Stronger,7,1290
They Live,7.3,2375
The Covenant,5.5,858
The Magnificent Seven,7.5,1445
Replicas,6.1,1123
The Manhattan Project,0,0
Escape from Planet Earth,5.7,649
Color Out of Space,6,1074
Wonder Woman,7.3,470
Hamilton,8.3,1029
Free Fire,6.3,940
The Batman vs. Dracula,7,276
Two Night Stand,6.4,1667
Open Water,5.5,906
Scandalous Sex,7.1,88
Barbie & Her Sisters in a Puppy Chase,6.9,110
The Secret Garden,6.4,486
City of Ember,6.3,1489
8MM,6.4,1609
Supergirl,5.5,479
Brawl in Cell Block 99,7,1098
What to Expect When You're Expecting,6,1633
The Forgiven,5.9,54
The Last Unicorn,7.2,380
The Ewok Adventure,6,259
The Wife,7.1,948
Capricorn One,6.8,359
Mission to Mars,6,1167
13 Ghosts,5.8,109
Hot Tub Time Machine,6,2084
Intimacy,6.4,437
Babylon A.D.,5.6,1730
The Square,6.8,1217
14 Peaks: Nothing Is Impossible,7.5,209
Censor,5.8,252
Crocodile Dundee,6.4,1574
Short Circuit,6.6,1215
Malcolm X,7.5,1329
Honey 3: Dare to Dance,6.6,200
Street Fighter: The Legend of Chun-Li,4.4,374
Sniper: Assassin's End,6.3,134
The Expendables 4,0,0
The Thomas Crown Affair,6.7,961
French Exit,5.7,96
Casper's Scare School,5.2,50
"Tarzan, the Ape Man",3.9,77
White Girl,5.7,402
The House of the Spirits,6.9,575
Girl with a Pearl Earring,6.6,1179
The Land Before Time X: The Great Longneck Migration,6.3,199
Moonrise Kingdom,7.7,5053
Thick as Thieves,5.9,656
King Kong,6.2,681
Demon Slayer,7.9,12
A Good Year,6.7,1263
Little Italy,6.8,538
A Christmas Carol,7.3,258
The Last King of Scotland,7.4,1741
The Dyatlov Pass Incident,5.9,510
Death Sentence,6.7,892
This Is 40,5.8,1895
IO,4.9,1191
The Exorcism of Molly Hartley,5.1,187
Zoolander,6.2,3650
LOL,6.1,2470
Mad Money,6.5,567
Singin' in the Rain,8.2,2542
"It's the Great Pumpkin, Charlie Brown",7.4,294
The 9th Life of Louis Drax,6.4,385
T2 Trainspotting,6.9,2745
Overboard,6.8,685
Cape Fear,7.3,2741
Eastern Promises,7.4,2705
The Book Thief,7.5,3905
Passing,6.4,223
High Life,5.8,896
What Lies Beneath,6.4,1511
Heavy Metal,6.5,546
Just Before I Go,6.5,274
Fried Green Tomatoes,7.7,1098
Tomb Invader,4.1,47
My Little Pony: Equestria Girls - Legend of Everfree,7.4,72
Breaking News in Yuba County,5.7,122
Finders Keepers,4.7,146
Red Heat,6.2,1180
Insomnia,6.9,3888
Jackass 3.5,6.3,494
Daybreakers,6.3,1658
Turistas,5.4,687
Walk the Line,7.5,2424
One Direction: This Is Us,8.4,928
Fantasy Island,5.9,2031
Cocoon: The Return,6.3,652
St. Agatha,5.6,181
Midnight Express,7.6,1367
Carlito's Way,7.8,2618
Whitney,7.4,160
The Glass Castle,7.2,652
Before the Flood,7.7,700
The Land Before Time,7.1,2197
The Infiltrator,6.6,1456
A Matter of Faith,5.1,23
The Black Cauldron,6.5,1031
Hush,6.7,4010
The Swan Princess,6.6,828
The Dead Zone,7,1270
Happily N'Ever After,4.9,369
Embrace of the Vampire,5,102
Star Trek: Nemesis,6.3,1156
The Picture of Dorian Gray,7.1,197
Twilight Zone: The Movie,6.5,573
Just Like Heaven,6.9,1988
A Family Man,6.7,440
Captive State,5.6,960
The Long Kiss Goodnight,6.6,959
Cartel Land,7.2,311
Swamp Thing,5.4,281
Flatliners,6.5,1263
Airheads,6.1,584
The Pirates of Somalia,7,181
LEGO DC Comics Super Heroes: Justice League - Attack of the Legion of Doom!,7,91
Save the Last Dance,6.6,1120
Scooby-Doo! and the Curse of the 13th Ghost,8,213
My Perfect Romance,5.5,184
The Disappearance of Alice Creed,6.5,450
12 Rounds 3: Lockdown,5.8,148
Sister Act 2: Back in the Habit,6.4,1498
25th Hour,7.4,1988
Hot Pursuit,5.7,1439
Thoroughbreds,6.4,953
Batman Unlimited: Monster Mayhem,6.4,121
Felon,7.2,698
Lego DC Batman: Family Matters,7.1,109
The Ward,5.8,1037
Made of Honor,6.4,1440
Bill & Ted's Excellent Adventure,6.9,1488
A Celebration of the Music from Coco,7.2,14
Drumline: A New Beat,6.9,72
Virus,5.4,489
The Land Before Time V: The Mysterious Island,6.2,276
Barb & Star Go to Vista Del Mar,5.8,176
The Unforgiven,6.3,138
The Do-Over,5.7,1295
My Life in Ruins,6.1,346
Hansel and Gretel Get Baked,5.1,181
Arthur,5.6,634
The Sandlot 2,5.9,135
The Innkeepers,5.4,538
The War of the Worlds,6.8,487
Good Time,7.2,2384
Sexual Predator,4.8,30
Cop Out,5.6,1289
She Hate Me,5.2,88
Evolution,6,1861
Homeward Bound: The Incredible Journey,6.9,847
Death Warrant,6.2,440
The Jewel of the Nile,6.2,924
The Imaginarium of Doctor Parnassus,6.4,2414
Imagine Me & You,7.6,839
Rounders,7,1429
Proud Mary,5.4,436
Horizon Line,5.8,247
The Vast of Night,6.6,814
Three Fugitives,6.7,233
Perfect,5.7,147
Ingrid Goes West,6.4,795
The Thirteenth Floor,7,1049
Miss Americana,8,446
Dragons: Rescue Riders: Huttsgalor Holiday,5.3,6
Grave Halloween,4.6,50
Mad God,6.7,121
The Sandman,5.4,74
Master and Commander: The Far Side of the World,7.1,2581
Pay the Ghost,5.4,663
13,5.8,658
Dance with Me,6.8,159
All My Life,8,390
Only Lovers Left Alive,7.3,1850
Tully,6.8,1236
Fast Times at Ridgemont High,6.8,993
Basic,6.5,857
To Kill a Mockingbird,8,2143
The Big Sick,7.4,2098
The Big Brawl,6.1,136
Under the Tuscan Sun,6.8,706
Black Sheep,5.8,603
"McFarland, USA",7.4,635
Judy,6.8,995
Exam,6.7,1703
National Lampoon's European Vacation,6.2,687
Kicking & Screaming,5.8,538
"My Teacher, My Obsession",5,80
The Wedding Planner,5.9,1437
Popeye,5.4,495
Little Miss Sunshine,7.7,5946
Absolutely Anything,5.9,1189
Tulip Fever,6.6,600
Detroit,7.3,1428
D.E.B.S.,6.4,439
The Pelican Brief,6.6,1253
Ad Astra,6.1,5628
Vasyl Lomachenko vs Jamaine Ortiz,0,0
"Paris, Texas",8.1,1345
Black '47,6.7,243
Against All Odds,5.6,142
Repo Men,6.3,1622
Stowaway,5.9,298
Dirt,6.3,61
Mayhem,6.5,522
Joy Ride 3,5.5,164
Cinderella Man,7.5,1835
Pooh's Heffalump Movie,6.8,369
Things Heard & Seen,5.8,751
Cheaper by the Dozen,6.3,2437
Blood of Redemption,5,41
Marvel Rising: Secret Warriors,6.9,74
A Dark Truth,5.5,88
In the Name of the King: A Dungeon Siege Tale,4.7,685
Secret Obsession,5.5,966
Swiss Army Man,6.9,3008
The Happytime Murders,5.7,858
The Tale of Despereaux,6,759
Blue Jasmine,7,3039
When the Bough Breaks,5.8,338
What Men Want,6.2,1146
A.I. Rising,5.1,230
The Promise,7,374
Our Friend,7.2,218
It Comes at Night,5.8,2011
Partysaurus Rex,7.2,397
First Responders,0,0
The English Patient,7.2,1750
Bikini Avengers,5.5,15
Avatar Spirits,9,14
Chicago,7.1,2206
The Miracle Season,7.3,262
Beware the Slenderman,6.4,195
Mercy,5,209
Alfie,5.8,701
Trauma Center,5.6,324
Jacob's Ladder,7.4,1275
Rebel Without a Cause,7.6,1307
Camp Rock,6.4,1905
The Adventures of Pinocchio,5.3,199
Poison Ivy,5.4,276
The Other Boleyn Girl,6.6,1758
The Rocker,6,488
Spotlight,7.8,7347
"10,000 Days",2.7,14
The Haunting in Connecticut,6.2,945
Star Trek: First Contact,7.3,1448
In Her Shoes,6.2,1054
The Late Bloomer,5.5,304
The Mummy,6.8,465
Sunshine,7,3120
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.1,4685
Brooklyn,7.3,2785
Hold the Dark,5.3,799
Ruby Sparks,7.1,1374
Mermaid Chronicles Part 1: She Creature,5.8,81
Beyond the Call to Duty,4.8,13
Open Range,7.2,862
12 Feet Deep,5.5,378
Congo,5.5,717
Arthur 3: la guerre des deux mondes,5.8,1351
College,4.6,128
When a Stranger Calls,5.7,890
A Common Man,6,60
Jackass: The Movie,6.3,1296
"Game Over, Man!",5.5,799
Heavy Metal 2000,6.1,161
The Hallow,5.6,529
The Match,6.4,46
Cocoon,6.6,1035
How to Make Love to a Woman,4.5,39
Black Death,6,688
The Snowman,5.2,1958
Assault on Precinct 13,6.1,885
Gandhi,7.5,1949
A Shaun the Sheep Movie: Farmageddon,6.9,395
Ransom,6.7,1529
Sandy Wexler,5.5,462
The Secret of Kells,7.4,544
S. Darko,4.4,401
House at the End of the Street,5.8,1574
The Night Before,6.1,1446
North by Northwest,8,3370
Trespass,5.5,999
Splash,6.3,1108
They're Playing with Fire,4.7,21
Mickey's Once Upon a Christmas,7.1,528
Poltergeist III,5.2,385
Happily,5.7,75
Paradise,6.2,91
1946: The Mistranslation That Shifted Culture,0,0
The Other Side of the Door,5.5,724
Grandma's Boy,6.6,523
Paradise Highway,5.6,36
Triggered,5.7,82
Boyhood,7.5,4560
Christmas Wedding Planner,5.5,379
The Reaping,5.7,673
Desperate Measures,5.9,213
The Magic of Belle Isle,7,326
Velvet Goldmine,6.9,392
The Eagle,6.2,1114
Alvin and the Chipmunks Meet the Wolfman,6.9,162
DOA: Dead or Alive,5.2,657
Burnt,6.5,2892
The Cable Guy,5.9,1981
The General's Daughter,6.4,746
The Humanity Bureau,4.8,292
McLintock!,6.6,176
G.I. Jane,6.4,1391
Trust,6.6,173
Warlock,6.8,110
St. Vincent,7.1,1620
The Rocky Horror Picture Show: Let's Do the Time Warp Again,5.3,176
28 Days,6.1,806
Kill 'em All,5.4,86
Weaponized,3.9,29
The Land Before Time XI: Invasion of the Tinysauruses,6.3,161
Kill Your Darlings,7.1,1204
Turbulence,5.4,188
The Paloni Show! Halloween Special!,6.2,6
Hard Kill,5.2,436
The Extraordinary Journey of the Fakir,7,249
Scooby-Doo and the Alien Invaders,7.1,300
ARQ,6.1,1007
Curse of the Pink Panther,4.6,128
My Girlfriend's Boyfriend,5.8,100
Penguin Bloom,7.1,220
Star Trek V: The Final Frontier,5.7,947
The Brave One,6.5,798
Rugrats in Paris: The Movie,6.7,401
Payback,6.8,1483
Dirty Dancing,5.5,397
Starship Troopers: Traitor of Mars,5.9,220
Ted Bundy: Mind of a Monster,7.6,38
Clownhouse,6.2,143
The Birdcage,7,907
Tron,6.7,1850
Dreamland,6.1,167
Motherless Brooklyn,6.7,1203
White Fang,6.7,502
Free Solo,7.9,1054
Cabin Fever,5.7,1048
Monstrous,5.9,98
A Private War,6.8,421
Magnolia,7.7,2926
The Dig,6.9,946
Animal Instincts,4.6,26
Cold Creek Manor,5.4,386
Drillbit Taylor,5.8,865
Sneakers,6.9,718
The Wedding Date,6.8,1017
October Sky,7.6,984
Curious George 2: Follow That Monkey!,6.5,94
DC Films Presents Dawn of the Justice League,5.9,61
Universal Soldier II: Brothers in Arms,4.4,36
Let Him Go,6.9,447
Next Gen,7,640
The Graduate,7.7,2727
Braindead,7.4,1315
Underdog,5.4,589
The Assignment,5.4,410
Serena,5.6,921
Vengeance: A Love Story,5.6,231
Last Moment of Clarity,5.5,37
Hawaiian Vacation,7,558
Death to 2020,6.5,585
Looking Glass,4.7,237
In the Blood,5.9,302
The Miracle Maker,5.9,31
Chisum,6.8,141
Now Is Good,7.4,1010
Reign of Fire,6.1,1877
The Dilemma,5.3,720
Unlocked,6.2,924
Selena Gomez: My Mind & Me,0,0
Beauty Shop,6.2,414
Missing in Action,5.8,368
Cam,5.9,1281
Viking Blood,6.5,55
Tom and Jerry: The Lost Dragon,5.7,45
Angel Heart,7.1,1208
Blow Up My Life,0,0
The Stepford Wives,5.7,1119
Cube,6.8,3959
My Little Pony: Equestria Girls,7.3,193
Body of Lies,6.6,2549
The Hobbit,6.3,216
Bill & Ted Face the Music,6,684
The Lords of Salem,5.5,709
成龍的傳奇,6.3,30
Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer,6.9,338
Bratz,5.8,374
No Escape,6.3,327
Wicker Park,6.9,566
Frankenfish,5.8,115
The Lawnmower Man,5.6,580
The Haunting of Margam Castle,5.7,39
Mr. Right,6.5,1151
Dinner for Schmucks,5.7,1528
Biker Boyz,6.2,284
Never Been Kissed,6.2,1272
Jane,6,4
Little Monsters,6.6,553
Barbarians,5.7,21
Deep,6,123
The Banana Splits Movie,6.7,203
The Powerpuff Girls Movie,6.5,236
Paper Towns,6.1,4756
In the Line of Fire,7,1261
The Archer,5.5,71
"Honey, We Shrunk Ourselves",5.5,558
Hey Arnold! The Movie,6.5,312
The Hole in the Ground,5.6,559
Fear,6.4,619
The Elephant Man,8.1,2794
In Bruges,7.5,4186
Bad News Bears,5.9,217
Insidious: Fear the Dark,0,0
Between Worlds,5.2,180
Rio Bravo,7.9,895
Velvet Buzzsaw,5.3,1675
The Aftermath,6.5,546
The Wedding Singer,6.8,1441
Amazing Love,7.1,17
Billy Madison,6.2,1344
Perfect Sisters,5.8,228
48 Christmas Wishes,5.4,81
Do the Right Thing,7.8,1390
White Palace,6.2,109
Malevolent,5,359
Nutty Professor II: The Klumps,5,1101
Red Joan,6.7,296
Alone,5.9,137
Beastly,6.3,2538
StreetDance 3D,6.4,361
The Rum Diary,5.9,1020
Dolphin Reef,6.8,70
Eye in the Sky,7,1334
The 300 Spartans,6.3,101
Normal,5.6,18
Money Monster,6.4,2651
Premonition,6.3,1313
Seance,5.4,85
Omen III: The Final Conflict,5.8,429
Invasion of the Body Snatchers,7.2,810
The World's Fastest Indian,7.6,569
When We First Met,6.6,2099
The Convent,5.7,95
The Gift,6.4,959
Winnie the Pooh: A Very Merry Pooh Year,6.8,144
Dressed to Kill,6.9,687
All About Eve,8.2,1256
The Young and Prodigious T.S. Spivet,6.8,619
Edge of Darkness,6.3,1291
LEGO Scooby-Doo! Blowout Beach Bash,7.4,140
Road to Perdition,7.4,3025
Quarantine 2: Terminal,5.7,450
Hotel for Dogs,6.1,755
Steve Jobs,6.8,3691
The Hills Have Eyes,6.2,699
The Hot Spot,6.3,190
Highlander: Endgame,4.8,322
The Talented Mr. Ripley,7.2,2947
The Tigger Movie,6.5,474
"It's a Mad, Mad, Mad, Mad World",7,447
Big Top Scooby-Doo!,7.8,165
The Exception,7,373
Look Who's Talking Now!,5.4,866
Moxie,7.4,674
Tesla,5.8,230
Chaos,6.3,834
D-Tox,5.6,534
Broken Arrow,6.7,152
Loving,6.7,823
David and Goliath,6,45
The Lizzie McGuire Movie,6.3,1117
Inmate Zero,6.4,82
The Quiet Ones,5.1,586
Lake Placid: The Final Chapter,5.1,145
Bitch Slap,4.7,239
Just My Luck,6.1,1644
Johnny Mnemonic,5.7,1092
Barbie: Star Light Adventure,7.1,136
The Normal Heart,7.8,791
True Crime,6.6,592
A Most Violent Year,6.6,1223
I Am Bruce Lee,7.8,132
Mandingo,6.7,94
MouseHunt,6.5,1040
The Good Shepherd,6.3,942
"20,000 Leagues Under the Sea",7.1,675
The Kid,6.5,795
Good on Paper,5.7,254
Vampires: Los Muertos,5.4,179
Cinderella and the Secret Prince,6.7,53
Pure Imagination: The Story of 'Willy Wonka and the Chocolate Factory',6.8,17
Get Smart,6.2,3072
Get Him to the Greek,6,1488
Doc Hollywood,6.3,500
Domestic Disturbance,5.8,339
Mara,5.7,314
The Way Back,6.6,862
Force of Execution,4.9,66
I Am Mother,6.7,2147
Good Burger,6,391
The Tournament,5.9,516
Mickey's Christmas Carol,7.7,733
Secrets of the Saqqara Tomb,7.4,108
Extremely Loud & Incredibly Close,7,1779
Megan,7.3,3
Very Good Girls,5.9,390
The Zombie Diaries 2,4.8,48
The Flintstones & WWE: Stone Age SmackDown!,7.1,83
Abduction,6.3,68
Stepmom,7.1,1210
Paradise Lost 3: Purgatory,7.5,118
In the Land of Blood and Honey,5.9,132
Have a Little Faith,6.5,21
Sleepless in Seattle,6.7,1920
Blood Work,6.1,640
Solaris,5.9,1090
Fiddler on the Roof,7.8,431
My Girl 2,5.9,384
The Seventh Sign,6.1,287
Along Came Polly,6,2455
The Wretched,6,468
Mr. Deeds,5.8,1895
Final Score,6.1,428
A Ghost Story,7.1,1960
Crocodile,5.3,132
The King of Staten Island,7,764
Skin,6.9,299
In the Heat of the Night,7.7,803
The Belko Experiment,6.1,1195
Les Misérables,7.3,4716
About Fate,6.8,24
Wishmaster 3: Beyond the Gates of Hell,4.4,124
The Ghost Writer,6.8,1846
I Spit on Your Grave: Déjà Vu,3.1,79
Eight Below,7,1487
Monster High: Electrified,7.2,65
Wild Mountain Thyme,5.2,117
The Possession,6,1382
Family Guy Presents: It's a Trap!,6.8,361
The Hunted,6.2,621
Fatal Affair,5.7,249
Bushwick,5.1,382
The Neon Demon,6.5,3336
Out of the Furnace,6.6,1665
The Duchess,7,1472
The Cutting Edge: Fire & Ice,6.4,130
Halloweentown II: Kalabar's Revenge,6.9,270
Top Secret!,7.1,920
Miracle on 34th Street,7.4,554
Modern Times,8.3,3084
Dracula,7.3,458
Murder on the Orient Express,7.2,1098
We Die Young,6.9,249
Desperately Seeking Susan,6.1,349
The Robe,6.9,182
Irresistible,6.1,327
"A Fairly Odd Movie: Grow Up, Timmy Turner!",4.9,189
Keeping Up with the Joneses,6.1,1745
Gladiator,7.5,246
No Escape Room,6.4,164
Jake Paul vs Anderson Silva,0,0
Four Weddings and a Funeral,6.8,2221
The Machinist,7.5,4614
Lake Placid 2,5.1,167
Tora! Tora! Tora!,7.2,416
Disturbing Behavior,5.7,273
Another Earth,6.7,1360
Masters of the Universe,5.7,708
Backdraft 2,6.6,141
LEGO Marvel Super Heroes: Avengers Reassembled!,6.5,102
A Night at the Roxbury,6.6,733
Senna,8.1,816
Falcon Rising,6.2,289
Forgive Us Our Trespasses,6.2,55
Fading Gigolo,5.8,516
Space Cowboys,6.4,1146
Pandas,8.2,43
Sniper: Legacy,6,168
The Place Beyond the Pines,7,4245
Being John Malkovich,7.4,3631
Children of the Corn IV: The Gathering,4.5,112
Osmosis Jones,6.5,886
Justin and the Knights of Valour,5.9,260
My Favorite Wedding,7.2,62
The Land Before Time IV: Journey Through the Mists,6.2,287
Waiting for the Barbarians,6,276
The Final Wish,5.1,116
The Man from Earth,7.6,1911
South Park the Streaming Wars,7.5,96
Vegas Vacation,6.1,515
Our House,5.6,296
Pretty Baby,7,239
Bone Tomahawk,6.8,1749
Echo Torch,6.6,11
Point Blank,6.1,454
Miss Bala,6.4,446
Short Term 12,7.8,1096
A Cinderella Story: Once Upon a Song,6.4,937
Tom and Jerry: The Magic Ring,6.3,199
Derailed,6.3,853
Emancipation,0,0
My Own Private Idaho,7.1,933
24: Redemption,7,370
Shall We Dance?,6.4,1033
Three Kings,6.6,1713
Labor Day,7,949
Murder by Numbers,6.1,835
Serpico,7.5,1555
Rise of the Zombies,4.1,70
The Art of the Steal,6.1,461
Cage Dive,4.6,269
Mank,6.8,1306
In the Electric Mist,6.1,353
Megan Leavey,7.3,651
North Country,7.2,501
Vantage Point,6.4,1748
Blood: The Last Vampire,5.7,290
The Taking of Pelham 1 2 3,6.3,2672
Wildlife,6.6,582
Submergence,5.4,247
Bedknobs and Broomsticks,7,795
Santa Buddies,5.9,183
The Assistant,6.4,339
Big Eyes,7,3141
Beneath,5.4,126
Captain Underpants: Mega Blissmas,5.8,8
Missing in Action 2: The Beginning,5.9,211
Spartacus,6.8,53
2012: Ice Age,4.5,243
About Last Night,6,446
The Last Days on Mars,5.4,669
What's Your Number?,6.5,2068
When Harry Met Sally...,7.4,3336
A Lot Like Love,6.8,1126
Dolores Claiborne,7.3,607
Le Procès,7.5,358
Lucas,6.6,177
The Call,5.6,122
Snake Eyes,6.1,1096
